function,file,status,fix_commit
__cci_ace_get_port,drivers/bus/arm-cci.c,FILE_CHANGED,
__ethtool_get_ts_info,net/ethtool/common.c,FILE_CHANGED,
acbel_fsg032_probe,drivers/hwmon/pmbus/acbel-fsg032.c,FILE_CHANGED,
adm1266_gpio_get,drivers/hwmon/pmbus/adm1266.c,FILE_CHANGED,
adm1266_gpio_get_multiple,drivers/hwmon/pmbus/adm1266.c,FILE_CHANGED,
adm8211_tx,drivers/net/wireless/admtek/adm8211.c,FILE_CHANGED,
aie2_cmd_submit,drivers/accel/amdxdna/aie2_ctx.c,FILE_CHANGED,
allocinfo_stop,lib/alloc_tag.c,FILE_CHANGED,
armada_lcd_bind,drivers/gpu/drm/armada/armada_crtc.c,FILE_CHANGED,
ath10k_htt_rx_h_find_rfc1042,drivers/net/wireless/ath/ath10k/htt_rx.c,FILE_CHANGED,
ath10k_htt_rx_h_get_pn,drivers/net/wireless/ath/ath10k/htt_rx.c,FILE_CHANGED,
ath10k_htt_rx_h_undecap_eth,drivers/net/wireless/ath/ath10k/htt_rx.c,FILE_CHANGED,
ath10k_htt_rx_h_undecap_nwifi,drivers/net/wireless/ath/ath10k/htt_rx.c,FILE_CHANGED,
ath10k_htt_rx_h_undecap_raw,drivers/net/wireless/ath/ath10k/htt_rx.c,FILE_CHANGED,
ath10k_htt_rx_proc_rx_frag_ind_hl,drivers/net/wireless/ath/ath10k/htt_rx.c,FILE_CHANGED,
ath10k_htt_rx_proc_rx_ind_hl,drivers/net/wireless/ath/ath10k/htt_rx.c,FILE_CHANGED,
ath10k_htt_rx_validate_amsdu,drivers/net/wireless/ath/ath10k/htt_rx.c,FILE_CHANGED,
audioformat_implicit_fb_quirk,sound/usb/implicit.c,FILE_CHANGED,
bcm2835_register_pll_divider,drivers/clk/bcm/clk-bcm2835.c,FILE_CHANGED,
bpa10x_rx_complete,drivers/bluetooth/bpa10x.c,FILE_CHANGED,
bpa_rs600_probe,drivers/hwmon/pmbus/bpa-rs600.c,FILE_CHANGED,
btmtk_intr_complete,drivers/bluetooth/btmtk.c,FILE_CHANGED,
btusb_bulk_complete,drivers/bluetooth/btusb.c,FILE_CHANGED,
btusb_diag_complete,drivers/bluetooth/btusb.c,FILE_CHANGED,
btusb_intr_complete,drivers/bluetooth/btusb.c,FILE_CHANGED,
btusb_isoc_complete,drivers/bluetooth/btusb.c,FILE_CHANGED,
cxl_fw_prepare,drivers/cxl/core/memdev.c,FILE_CHANGED,
dce_v11_0_sw_fini,drivers/gpu/drm/amd/amdgpu/dce_v11_0.c,FILE_CHANGED,
device_register,drivers/base/core.c,FILE_CHANGED,
fcp_find_fc_interface,sound/usb/fcp.c,FILE_CHANGED,
fme_pr,drivers/fpga/dfl-fme-pr.c,FILE_CHANGED,
fsl_dcu_unload,drivers/gpu/drm/fsl-dcu/fsl_dcu_drm_drv.c,FILE_CHANGED,
fsmc_read_page_hwecc,drivers/mtd/nand/raw/fsmc_nand.c,FILE_CHANGED,
gem_create_obj,drivers/gpu/drm/xen/xen_drm_front_gem.c,FILE_CHANGED,
ib_nl_process_good_resolve_rsp,drivers/infiniband/core/sa_query.c,FILE_CHANGED,
ib_sa_classport_info_rec_callback,drivers/infiniband/core/sa_query.c,FILE_CHANGED,
